fact_id,layer,pair_type,variant_id_a,variant_id_b,is_correct_a,is_correct_b,cosine_distance,l2_distance,jaccard_distance,n_active_a,n_active_b,n_shared_features
cf_10000,2,wrong_wrong,paraphrase_00,paraphrase_01,False,False,1.0,626.9373779296875,1.0,7,4,0
cf_10000,3,wrong_wrong,paraphrase_00,paraphrase_01,False,False,1.0,639.102783203125,1.0,5,7,0
cf_10000,4,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.9826018214225769,677.8065795898438,0.95,10,11,1
cf_10000,12,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.9769012928009033,1650.0234375,0.9655172413793104,15,15,1
cf_10000,15,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.9368144273757935,1548.6563720703125,0.9696969696969697,16,18,1
cf_10000,18,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.7024511098861694,2683.51904296875,0.8275862068965517,17,17,5
cf_10006,2,wrong_wrong,paraphrase_00,paraphrase_01,False,False,1.0,613.4862670898438,1.0,5,4,0
cf_10006,3,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.9832763075828552,614.8815307617188,0.9285714285714286,7,8,1
cf_10006,4,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.9685331583023071,640.824951171875,0.8666666666666667,9,8,2
cf_10006,12,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.9275569915771484,1754.64111328125,0.92,14,13,2
cf_10006,15,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.9074965715408325,1871.4674072265625,0.9032258064516129,15,19,3
cf_10006,18,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.909916341304779,3639.095947265625,0.896551724137931,14,18,3
cf_10033,2,correct_wrong,paraphrase_00,paraphrase_01,False,True,0.03262704610824585,116.07935333251953,0.5714285714285714,6,4,3
cf_10033,3,correct_wrong,paraphrase_00,paraphrase_01,False,True,0.026650190353393555,129.35470581054688,0.4545454545454546,8,9,6
cf_10033,4,correct_wrong,paraphrase_00,paraphrase_01,False,True,0.07088637351989746,240.07546997070312,0.46153846153846156,11,9,7
cf_10033,12,correct_wrong,paraphrase_00,paraphrase_01,False,True,0.08707690238952637,666.6279907226562,0.6521739130434783,15,16,8
cf_10033,15,correct_wrong,paraphrase_00,paraphrase_01,False,True,0.14831030368804932,679.3173217773438,0.4736842105263158,13,16,10
cf_10033,18,correct_wrong,paraphrase_00,paraphrase_01,False,True,0.1430215835571289,1311.5263671875,0.5925925925925926,17,21,11
cf_1004,2,wrong_wrong,paraphrase_00,paraphrase_01,False,False,1.0,641.5256958007812,1.0,8,4,0
cf_1004,3,wrong_wrong,paraphrase_00,paraphrase_01,False,False,1.0,640.3704223632812,1.0,5,5,0
cf_1004,4,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.9850403666496277,699.236328125,0.9444444444444444,10,9,1
cf_1004,12,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.9311032891273499,1389.3118896484375,0.9411764705882353,19,17,2
cf_1004,15,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.9668307304382324,1756.8255615234375,0.96875,16,17,1
cf_1004,18,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.9322372674942017,3705.763916015625,0.9,19,14,3
cf_10043,2,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.11818724870681763,255.85910034179688,0.5555555555555556,6,7,4
cf_10043,3,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.078829824924469,198.77557373046875,0.5,12,15,9
cf_10043,4,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.10355955362319946,312.1129150390625,0.5789473684210527,13,14,8
cf_10043,12,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.3758509159088135,946.3329467773438,0.8,22,26,8
cf_10043,15,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.3068771958351135,1035.8997802734375,0.7407407407407407,16,18,7
cf_10043,18,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.35106921195983887,1836.5560302734375,0.7241379310344828,20,17,8
cf_10047,2,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.1684975028038025,307.0785217285156,0.6153846153846154,7,11,5
cf_10047,3,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.10810130834579468,234.7742462158203,0.65,14,13,7
cf_10047,4,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.1763564944267273,373.9059753417969,0.7931034482758621,14,21,6
cf_10047,12,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.6628813743591309,1206.3948974609375,0.9032258064516129,19,15,3
cf_10047,15,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.457170307636261,1394.2325439453125,0.7714285714285715,19,24,8
cf_10047,18,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.47886228561401367,2074.91943359375,0.8148148148148149,13,19,5
cf_10076,2,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.012777090072631836,64.90695190429688,0.0,5,5,5
cf_10076,3,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.03167980909347534,104.25959014892578,0.7,6,7,3
cf_10076,4,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.09553492069244385,202.86737060546875,0.5454545454545454,9,7,5
cf_10076,12,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.33598846197128296,1582.746337890625,0.8333333333333334,17,32,7
cf_10076,15,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.7871959209442139,2374.9345703125,0.8857142857142857,21,18,4
cf_10076,18,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.9864821434020996,4895.5498046875,0.9512195121951219,21,22,2
cf_10079,2,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.05059611797332764,137.80569458007812,0.6666666666666667,6,6,3
cf_10079,3,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.0856938362121582,198.90757751464844,0.8125,10,9,3
cf_10079,4,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.07740128040313721,224.6715850830078,0.5,12,9,7
cf_10079,12,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.23607271909713745,827.4551391601562,0.5454545454545454,15,17,10
cf_10079,15,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.43174058198928833,1086.3873291015625,0.7391304347826086,14,15,6
cf_10079,18,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.28484898805618286,1704.8402099609375,0.7037037037037037,18,17,8
cf_10101,2,correct_correct,paraphrase_00,paraphrase_01,True,True,0.02030766010284424,86.85580444335938,0.625,5,6,3
cf_10101,3,correct_correct,paraphrase_00,paraphrase_01,True,True,0.027933716773986816,110.99610137939453,0.6,6,8,4
cf_10101,4,correct_correct,paraphrase_00,paraphrase_01,True,True,0.05503147840499878,235.41297912597656,0.18181818181818177,11,9,9
cf_10101,12,correct_correct,paraphrase_00,paraphrase_01,True,True,0.03180265426635742,517.270263671875,0.4545454545454546,16,18,12
cf_10101,15,correct_correct,paraphrase_00,paraphrase_01,True,True,0.11248350143432617,593.9102172851562,0.5555555555555556,14,12,8
cf_10101,18,correct_correct,paraphrase_00,paraphrase_01,True,True,0.11311084032058716,1335.6243896484375,0.5416666666666667,18,17,11
cf_10106,2,correct_correct,paraphrase_00,paraphrase_01,True,True,0.001548171043395996,23.45315933227539,0.0,5,5,5
cf_10106,3,correct_correct,paraphrase_00,paraphrase_01,True,True,0.009057879447937012,63.594478607177734,0.16666666666666663,11,11,10
cf_10106,4,correct_correct,paraphrase_00,paraphrase_01,True,True,0.005357146263122559,62.7181396484375,0.0,11,11,11
cf_10106,12,correct_correct,paraphrase_00,paraphrase_01,True,True,0.07417804002761841,472.3509216308594,0.3913043478260869,19,18,14
cf_10106,15,correct_correct,paraphrase_00,paraphrase_01,True,True,0.47078007459640503,1078.6768798828125,0.6785714285714286,22,15,9
cf_10106,18,correct_correct,paraphrase_00,paraphrase_01,True,True,0.19937074184417725,1076.5406494140625,0.35,18,15,13
cf_10110,2,correct_correct,paraphrase_00,paraphrase_01,True,True,0.03129172325134277,105.93368530273438,0.33333333333333337,6,4,4
cf_10110,3,correct_correct,paraphrase_00,paraphrase_01,True,True,0.11973905563354492,229.5226287841797,0.7,6,7,3
cf_10110,4,correct_correct,paraphrase_00,paraphrase_01,True,True,0.08692026138305664,211.33482360839844,0.5,8,10,6
cf_10110,12,correct_correct,paraphrase_00,paraphrase_01,True,True,0.09759503602981567,651.45068359375,0.625,15,18,9
cf_10110,15,correct_correct,paraphrase_00,paraphrase_01,True,True,0.35965681076049805,949.3564453125,0.6956521739130435,15,15,7
cf_10110,18,correct_correct,paraphrase_00,paraphrase_01,True,True,0.1778152585029602,1871.3350830078125,0.6521739130434783,14,17,8
cf_10120,2,correct_wrong,paraphrase_00,paraphrase_01,False,True,1.0,803.3455810546875,1.0,12,5,0
cf_10120,3,correct_wrong,paraphrase_00,paraphrase_01,False,True,1.0,828.7518310546875,1.0,18,6,0
cf_10120,4,correct_wrong,paraphrase_00,paraphrase_01,False,True,1.0,924.6812744140625,1.0,16,8,0
cf_10120,12,correct_wrong,paraphrase_00,paraphrase_01,False,True,0.6445287466049194,2112.80859375,0.782608695652174,17,11,5
cf_10120,15,correct_wrong,paraphrase_00,paraphrase_01,False,True,0.7348499298095703,2233.308837890625,0.8461538461538461,20,10,4
cf_10120,18,correct_wrong,paraphrase_00,paraphrase_01,False,True,0.5785410404205322,3248.426513671875,0.8333333333333334,19,16,5
cf_10123,2,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.0020107030868530273,33.749595642089844,0.0,4,4,4
cf_10123,3,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.044261157512664795,145.3167266845703,0.4444444444444444,8,6,5
cf_10123,4,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.1529577374458313,339.4471130371094,0.41666666666666663,12,7,7
cf_10123,12,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.25435155630111694,1376.109375,0.7391304347826086,14,15,6
cf_10123,15,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.33125799894332886,1197.2486572265625,0.6538461538461539,17,18,9
cf_10123,18,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.3463759422302246,1847.3524169921875,0.6875,23,19,10
cf_10124,2,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.07257658243179321,175.98403930664062,0.7777777777777778,5,6,2
cf_10124,3,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.09003090858459473,217.6570587158203,0.7777777777777778,5,6,2
cf_10124,4,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.09661298990249634,270.64764404296875,0.75,7,8,3
cf_10124,12,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.11244529485702515,991.1998291015625,0.6,15,13,8
cf_10124,15,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.594135046005249,2126.995361328125,0.7916666666666666,12,17,5
cf_10124,18,wrong_wrong,paraphrase_00,paraphrase_01,False,False,0.6474453210830688,2955.920166015625,0.8695652173913043,13,13,3
cf_10134,2,correct_correct,paraphrase_00,paraphrase_01,True,True,1.0,666.8163452148438,1.0,5,17,0
cf_10134,3,correct_correct,paraphrase_00,paraphrase_01,True,True,0.9747769236564636,710.8289794921875,0.9655172413793104,8,22,1
cf_10134,4,correct_correct,paraphrase_00,paraphrase_01,True,True,1.0,705.9014282226562,1.0,8,19,0
cf_10134,12,correct_correct,paraphrase_00,paraphrase_01,True,True,0.985657274723053,1660.8538818359375,0.9722222222222222,15,22,1
cf_10134,15,correct_correct,paraphrase_00,paraphrase_01,True,True,0.8575246930122375,2291.035888671875,0.8333333333333334,19,16,5
cf_10134,18,correct_correct,paraphrase_00,paraphrase_01,True,True,0.8849669694900513,3958.8876953125,0.926829268292683,21,23,3
cf_10140,2,wrong_wrong,paraphrase_00,paraphrase_01,False,False,1.0,836.958251953125,1.0,7,4,0
cf_10140,3,wrong_wrong,paraphrase_00,paraphrase_01,False,False,1.0,841.5073852539062,1.0,8,6,0
