row_id,fact_id,variant_id,layer,pair_type,is_correct,subject,correct_answer,target_new,n_active_features,sum_active_activation,max_active_activation,mean_active_activation
0,cf_20952,paraphrase_00,2,correct_wrong,False,Angola,Africa,Antarctica,4,749.75390625,383.938720703125,187.4384765625
1,cf_20952,paraphrase_01,2,correct_wrong,True,Angola,Africa,Antarctica,4,785.137939453125,379.72991943359375,196.28448486328125
2,cf_3648,paraphrase_00,2,wrong_wrong,False,Shanghai,Barcelona,Dresden,5,787.5721435546875,277.8204040527344,157.5144287109375
3,cf_3648,paraphrase_01,2,wrong_wrong,False,Shanghai,Barcelona,Dresden,6,907.5526123046875,385.92108154296875,151.2587687174479
4,cf_819,paraphrase_00,2,correct_wrong,True,2011 Cannes Film Festival,Cannes,Prescott,4,595.2100219726562,425.1385498046875,148.80250549316406
5,cf_819,paraphrase_01,2,correct_wrong,False,2011 Cannes Film Festival,Cannes,Prescott,5,745.4589233398438,435.7332763671875,149.09178466796874
6,cf_9012,paraphrase_00,2,correct_wrong,False,Delta Goodrem,Australia,India,5,1036.943603515625,506.26007080078125,207.388720703125
7,cf_9012,paraphrase_01,2,correct_wrong,True,Delta Goodrem,Australia,India,4,563.6507568359375,426.00848388671875,140.91268920898438
8,cf_8024,paraphrase_00,2,correct_correct,True,Google Patents,Google,Microsoft,4,666.859375,384.24993896484375,166.71484375
9,cf_8024,paraphrase_01,2,correct_correct,True,Google Patents,Google,Microsoft,5,591.5926513671875,433.5203857421875,118.3185302734375
10,cf_7314,paraphrase_00,2,correct_wrong,True,Lady Gaga,piano,violin,5,565.6138916015625,275.4687194824219,113.1227783203125
11,cf_7314,paraphrase_01,2,correct_wrong,False,Lady Gaga,piano,violin,7,1171.9354248046875,261.1342468261719,167.41934640066964
12,cf_4572,paraphrase_00,2,wrong_wrong,False,Cologne,Beijing,Cairo,4,864.8759765625,396.61248779296875,216.218994140625
13,cf_4572,paraphrase_01,2,wrong_wrong,False,Cologne,Beijing,Cairo,8,907.640869140625,313.33404541015625,113.45510864257812
14,cf_3358,paraphrase_00,2,wrong_wrong,False,Institut Polaire,Perth,Budapest,4,556.1226196289062,431.3165283203125,139.03065490722656
15,cf_3358,paraphrase_01,2,wrong_wrong,False,Institut Polaire,Perth,Budapest,3,571.278076171875,429.00054931640625,190.426025390625
16,cf_17870,paraphrase_00,2,correct_correct,True,Allegro Non Troppo,Italian,Serbian,4,755.4500732421875,274.4415283203125,188.86251831054688
17,cf_17870,paraphrase_01,2,correct_correct,True,Allegro Non Troppo,Italian,Serbian,5,657.748779296875,378.87750244140625,131.549755859375
18,cf_2848,paraphrase_00,2,wrong_wrong,False,Thenewno2,London,Leicester,5,629.963623046875,412.35003662109375,125.992724609375
19,cf_2848,paraphrase_01,2,wrong_wrong,False,Thenewno2,London,Leicester,6,759.4071044921875,404.15899658203125,126.56785074869792
20,cf_19349,paraphrase_00,2,wrong_wrong,False,Lewin Brzeski,Poland,Norway,6,718.0426025390625,404.09259033203125,119.67376708984375
21,cf_19349,paraphrase_01,2,wrong_wrong,False,Lewin Brzeski,Poland,Norway,5,640.5100708007812,415.10491943359375,128.10201416015624
22,cf_13825,paraphrase_00,2,wrong_wrong,False,Charles Lang Freer House,Detroit,Somerset,4,547.0438232421875,408.7769775390625,136.76095581054688
23,cf_13825,paraphrase_01,2,wrong_wrong,False,Charles Lang Freer House,Detroit,Somerset,4,607.8797607421875,426.98492431640625,151.96994018554688
24,cf_1041,paraphrase_00,2,correct_correct,True,Sunday Night Baseball,ESPN,CBS,3,527.014404296875,432.16485595703125,175.67146809895834
25,cf_1041,paraphrase_01,2,correct_correct,True,Sunday Night Baseball,ESPN,CBS,4,574.36572265625,458.26446533203125,143.5914306640625
26,cf_976,paraphrase_00,2,wrong_wrong,False,Larry Stabbins,Bristol,Chicago,6,647.7523803710938,415.48516845703125,107.95873006184895
27,cf_976,paraphrase_01,2,wrong_wrong,False,Larry Stabbins,Bristol,Chicago,7,965.9788818359375,486.59051513671875,137.99698311941964
28,cf_3070,paraphrase_00,2,wrong_wrong,False,Marco Pannella,Rome,Moscow,5,574.9989013671875,425.89312744140625,114.9997802734375
29,cf_3070,paraphrase_01,2,wrong_wrong,False,Marco Pannella,Rome,Moscow,3,577.2779541015625,430.314697265625,192.42598470052084
30,cf_7164,paraphrase_00,2,wrong_wrong,False,Bob Mason,goaltender,midfielder,5,586.44189453125,259.389404296875,117.28837890625
31,cf_7164,paraphrase_01,2,wrong_wrong,False,Bob Mason,goaltender,midfielder,5,698.434814453125,504.5522155761719,139.686962890625
32,cf_7623,paraphrase_00,2,correct_wrong,False,Bernard Giraudeau,French,Polish,5,781.681396484375,383.0001220703125,156.336279296875
33,cf_7623,paraphrase_01,2,correct_wrong,True,Bernard Giraudeau,French,Polish,5,754.74365234375,274.806396484375,150.94873046875
34,cf_16559,paraphrase_00,2,wrong_wrong,False,The Constellations,Atlanta,Calgary,3,517.0172119140625,428.38238525390625,172.33907063802084
35,cf_16559,paraphrase_01,2,wrong_wrong,False,The Constellations,Atlanta,Calgary,5,664.91748046875,454.28857421875,132.98349609375
36,cf_19726,paraphrase_00,2,correct_wrong,True,christian worship,Christianity,Islam,25,2511.02734375,225.54318237304688,100.44109375
37,cf_19726,paraphrase_01,2,correct_wrong,False,christian worship,Christianity,Islam,5,802.3463134765625,441.8883056640625,160.4692626953125
38,cf_869,paraphrase_00,2,wrong_wrong,False,"Elizabeth Boleyn, Countess of Wiltshire",Norfolk,Egypt,7,950.3229370117188,466.4031982421875,135.76041957310267
39,cf_869,paraphrase_01,2,wrong_wrong,False,"Elizabeth Boleyn, Countess of Wiltshire",Norfolk,Egypt,6,934.48828125,467.49432373046875,155.748046875
40,cf_18390,paraphrase_00,2,correct_wrong,False,Oak Street Beach,Chicago,Amazon,12,1452.365234375,226.30410766601562,121.03043619791667
41,cf_18390,paraphrase_01,2,correct_wrong,True,Oak Street Beach,Chicago,Amazon,6,1064.015380859375,506.2052001953125,177.33589680989584
42,cf_6515,paraphrase_00,2,correct_wrong,False,Guillaumes,France,Norway,6,710.7821044921875,418.57220458984375,118.46368408203125
43,cf_6515,paraphrase_01,2,correct_wrong,True,Guillaumes,France,Norway,5,728.246337890625,398.72198486328125,145.649267578125
44,cf_21295,paraphrase_00,2,wrong_wrong,False,Five Star Krishna,actor,comedian,5,842.094482421875,285.549072265625,168.418896484375
45,cf_21295,paraphrase_01,2,wrong_wrong,False,Five Star Krishna,actor,comedian,5,708.1454467773438,477.0757751464844,141.62908935546875
46,cf_17856,paraphrase_00,2,correct_wrong,True,Mandailing language,Indonesia,Poland,6,681.5546875,425.68798828125,113.59244791666667
47,cf_17856,paraphrase_01,2,correct_wrong,False,Mandailing language,Indonesia,Poland,4,661.6222534179688,465.90631103515625,165.4055633544922
48,cf_13746,paraphrase_00,2,wrong_wrong,False,Allan Warren,English,Spanish,12,1560.48974609375,276.27001953125,130.04081217447916
49,cf_13746,paraphrase_01,2,wrong_wrong,False,Allan Warren,English,Spanish,4,754.9371337890625,291.517822265625,188.73428344726562
50,cf_7223,paraphrase_00,2,wrong_wrong,False,Dick Radatz,pitcher,midfielder,15,1421.2802734375,286.4121398925781,94.75201822916667
51,cf_7223,paraphrase_01,2,wrong_wrong,False,Dick Radatz,pitcher,midfielder,5,674.9364013671875,487.8830871582031,134.9872802734375
52,cf_14719,paraphrase_00,2,wrong_wrong,False,Louis McLane,Baltimore,Barcelona,7,777.7689819335938,389.0638427734375,111.10985456194196
53,cf_14719,paraphrase_01,2,wrong_wrong,False,Louis McLane,Baltimore,Barcelona,4,555.7457275390625,414.264404296875,138.93643188476562
54,cf_19309,paraphrase_00,2,wrong_wrong,False,Sinclair Radionics,Cambridge,London,5,592.774658203125,394.2042236328125,118.554931640625
55,cf_19309,paraphrase_01,2,wrong_wrong,False,Sinclair Radionics,Cambridge,London,3,502.0921936035156,432.99169921875,167.36406453450522
56,cf_9115,paraphrase_00,2,wrong_wrong,False,KKBQ,Texas,Miami,6,764.5338134765625,408.22698974609375,127.42230224609375
57,cf_9115,paraphrase_01,2,wrong_wrong,False,KKBQ,Texas,Miami,5,637.3445434570312,398.3287353515625,127.46890869140626
58,cf_212,paraphrase_00,2,correct_correct,True,Princeton University Press,Princeton,Beirut,5,748.2767333984375,461.6800537109375,149.6553466796875
59,cf_212,paraphrase_01,2,correct_correct,True,Princeton University Press,Princeton,Beirut,4,619.9332275390625,440.18310546875,154.98330688476562
60,cf_5231,paraphrase_00,2,wrong_wrong,False,Toei Company,Tokyo,Birmingham,4,573.9752197265625,421.5384521484375,143.49380493164062
61,cf_5231,paraphrase_01,2,wrong_wrong,False,Toei Company,Tokyo,Birmingham,4,531.5540161132812,416.10540771484375,132.8885040283203
62,cf_13848,paraphrase_00,2,correct_wrong,True,Interstate 255,Illinois,Vienna,4,615.4735107421875,419.02581787109375,153.86837768554688
63,cf_13848,paraphrase_01,2,correct_wrong,False,Interstate 255,Illinois,Vienna,5,736.2711791992188,431.645263671875,147.25423583984374
64,cf_11149,paraphrase_00,2,wrong_wrong,False,Johannes Schilling,Dresden,Paris,4,611.8152465820312,426.076904296875,152.9538116455078
65,cf_11149,paraphrase_01,2,wrong_wrong,False,Johannes Schilling,Dresden,Paris,4,572.581787109375,419.7314453125,143.14544677734375
66,cf_9105,paraphrase_00,2,correct_correct,True,Edina High School,Minnesota,Pennsylvania,4,651.860595703125,455.9398193359375,162.96514892578125
67,cf_9105,paraphrase_01,2,correct_correct,True,Edina High School,Minnesota,Pennsylvania,5,645.8048095703125,432.2425537109375,129.1609619140625
68,cf_5094,paraphrase_00,2,correct_wrong,True,Tom McCall Waterfront Park,Oregon,Victoria,5,670.9063720703125,452.67626953125,134.1812744140625
69,cf_5094,paraphrase_01,2,correct_wrong,False,Tom McCall Waterfront Park,Oregon,Victoria,9,1452.86962890625,494.4780578613281,161.42995876736111
70,cf_7055,paraphrase_00,2,correct_wrong,False,Austin Currie,Ireland,Canada,7,757.7772827148438,381.0091552734375,108.25389753069196
71,cf_7055,paraphrase_01,2,correct_wrong,True,Austin Currie,Ireland,Canada,4,1017.81005859375,480.4267578125,254.4525146484375
72,cf_11029,paraphrase_00,2,wrong_wrong,False,omphacite,grape,Peter,4,496.5233459472656,392.419189453125,124.1308364868164
73,cf_11029,paraphrase_01,2,wrong_wrong,False,omphacite,grape,Peter,5,725.04931640625,503.6458740234375,145.00986328125
74,cf_3349,paraphrase_00,2,wrong_wrong,False,Space Sentinels,NBC,BBC,5,640.582275390625,420.0279541015625,128.116455078125
75,cf_3349,paraphrase_01,2,wrong_wrong,False,Space Sentinels,NBC,BBC,4,606.2681274414062,434.954345703125,151.56703186035156
76,cf_3039,paraphrase_00,2,correct_correct,True,CBS Sports Spectacular,CBS,PBS,3,538.1573486328125,443.9867248535156,179.38578287760416
77,cf_3039,paraphrase_01,2,correct_correct,True,CBS Sports Spectacular,CBS,PBS,4,560.8934326171875,433.83319091796875,140.22335815429688
78,cf_12449,paraphrase_00,2,correct_correct,True,Kazi Nazrul Islam,Bangladesh,Sudan,5,992.8140869140625,474.27081298828125,198.5628173828125
79,cf_12449,paraphrase_01,2,correct_correct,True,Kazi Nazrul Islam,Bangladesh,Sudan,4,1017.49560546875,490.8980712890625,254.3739013671875
80,cf_3169,paraphrase_00,2,correct_correct,True,Jens Evensen,Norway,Ireland,7,801.6302490234375,382.377685546875,114.51860700334821
81,cf_3169,paraphrase_01,2,correct_correct,True,Jens Evensen,Norway,Ireland,4,1022.455810546875,472.747314453125,255.61395263671875
82,cf_11763,paraphrase_00,2,wrong_wrong,False,Persian Risk,Cardiff,Edmonton,6,600.3939208984375,404.29229736328125,100.06565348307292
83,cf_11763,paraphrase_01,2,wrong_wrong,False,Persian Risk,Cardiff,Edmonton,4,578.121337890625,418.84722900390625,144.53033447265625
84,cf_11270,paraphrase_00,2,correct_wrong,True,North Side Gang,Chicago,Belfast,4,554.8853759765625,421.63568115234375,138.72134399414062
85,cf_11270,paraphrase_01,2,correct_wrong,False,North Side Gang,Chicago,Belfast,4,542.6832885742188,422.60400390625,135.6708221435547
86,cf_19782,paraphrase_00,2,wrong_wrong,False,Justin Fleming,Sydney,Cardiff,6,565.3677368164062,183.45477294921875,94.2279561360677
87,cf_19782,paraphrase_01,2,wrong_wrong,False,Justin Fleming,Sydney,Cardiff,5,586.6849975585938,431.22662353515625,117.33699951171874
